Name	Type	Region	PKG direct link	File Size
Resident Evil 2 (FR)	PS1	EU	http://zeusXXXXEP0102/NPEF00198_00/ITNquQHnSVFAkstypgEfgCeYhovECpQjIluUDgJLemqSizPXphxdFgYbwTDcexjs.pkg	0
Saikyou Ginsei Chess 	PS1	JP	http://zeusXXXXJP0571/NPJJ00469_00/mJnw7u6p04VCh6djQg6pw6itQAfJyYWB8QARExgsapdOeP6VPdy2Sns6C1x9Tti25LuVRS7frpjmmvSihQGMyJi1TJ9UVLy8ihIC1.pkg	6
Chiki Chiki Chicken (SuperLite 1500) 	PS1	JP	http://zeusXXXXJP0281/NPJJ00073_00/kUQjUAPWKg9JSxWrdXyJ2LOehgGgrn7iUd9uORVGDtutBvIo5bSxmiobOxYsNiIP5gLY3vGApOJjRFRkfce75WpbOt4HhRyVELC7N.pkg	7
Cotton Original (SuperLite 1500) 	PS1	AS	http://zeusXXXXHP0281/NPHJ00032_00/mNL5aNhPaGuWK5myuDAcvBVyN1CH08MVEe4X6T7Te8R0ETgGIchXdVWMFbTaDSrhFWXBVJcnvuu6EXkMXk6CATpVaRS6EUnyOMXH8.pkg	7
Cotton Original (SuperLite 1500) 	PS1	JP	http://zeusXXXXJP0281/NPJJ00067_00/WgSLKeK0LMQL1aLDCo0pwhGpd7rMyVbldbk0mF66ypjs9inGOy6BAf7yVH8RmHReHJdnJSU3mMJ89p5P8MbFyMcw0400qptSdSbgt.pkg	7
Minna Atsumare! Igo Kyoushitsu 	PS1	JP	http://zeusXXXXJP0571/NPJJ00409_00/vrYXGvfvG7wCEMfBXDO0LMeyvIeygYKE4KVjbvs2HIgQRlRYnnGdxd74s7RUNwv5FqOtvU9uiQLsWsNFCCh6XdPX7pkK81xUggGrR.pkg	7
Simple 1500 Vol. 41: The Reversi 2 	PS1	JP	http://zeusXXXXJP0367/NPJJ00362_00/1KPotafIYhGvB8thYDfAOiDUHAaUSxLNtP7dcIsNP61TM5XqLwblTW2EhvaRs4gIO9l0sMBmMECV7XE5uxVvxnt4KJEj8VD0GCAC4.pkg	7
Simple 1500 Vol. 43: The Hanafuda 2 	PS1	JP	http://zeusXXXXJP0367/NPJJ00348_00/CEnXRm9PakxQgk2EfrIJq0SLhQypE5EcUDUARjFiYtpB5i2ecksMGrmVRQFYABsS7xVCsvvpyliqkc2bNJpGcXRcBr9yFdlOGPXWk.pkg	7
Crossroad Crisis 	PS1	US	http://zeusXXXXUP9000/NPUJ01342_00/UP9000-NPUJ01342_00-0000000000000001_bg_1_f979f38c2612dc02dfe559051513f91642277ba8.pkg	8
Simple 1500 Vol. 85: The Sengoku Bushou ~Tenka Touitsu no Yabou~ 	PS1	JP	http://zeusXXXXJP0367/NPJJ00405_00/r1RwHFdvqH93vf9MD6mi3pV64GXNdkNbwstWBLe2xL9jsYKqiQXnDWakiC9Ym1OWPLnfJMSc1IARl98JUiMrmgAGjddPCiSjwC3Ws.pkg	8
Simple 1500 Vol. 98: The Futsal 	PS1	JP	http://zeusXXXXJP0367/NPJJ00424_00/QXVYPJfrvlxalfNbHDGzyiFHIOBdfegDaZxBWjgciCpBVUzaRpNrNhQlMDMGTwJVloBGcmWadcGrueJYhtjzOPhebsmfCZAQtnVKs.pkg	8
Memorial * Series: Sunsoft Vol. 1: Ikki / Super Arabian 	PS1	JP	http://zeusXXXXJP0202/NPJJ00074_00/Chv1Vx2x3X3mSWhlQXHv0XkQe4vv5suuFsJw33oSfUaNf3XoKkq4IqnoRDWOcm36CvoNtdQxLGaqjPq9xJoDhTyeogS0ievcCdvOG.pkg	9
Simple 1500 Vol. 82: The Sensuikan 	PS1	JP	http://zeusXXXXJP0367/NPJJ00404_00/HCHI2QRAB6pu1CKImwW6mUuA6FfqHuLxDIXmbisHEuKUHhJLro7N7p8KIg64s73lGoH9bdaEBUu2MnQ814bm4A8xMIuoJ5DA0r0fY.pkg	9
Memorial * Series: Sunsoft Vol. 2: Route-16 Turbo / Atlantis no Nazo 	PS1	JP	http://zeusXXXXJP0202/NPJJ00075_00/eJ1OcyMeBbGuIaJ91fDh63s0R0NTEKcD6xXWAWDK4U0SqDr6Pl8O0dWaN2mTh8k0WfVGUwoEOStbQjJ0M1drMA9gpgfTep8eDPIDF.pkg	10
Oekaki Puzzle (SuperLite 1500) 	PS1	JP	http://zeusXXXXJP0571/NPJJ00420_00/NDX4cpsPEnhfYcRcCwLpcePwGNUcstYTUBbxYJvKSS8D9AQIteFmogYsNwmQlFnPPsU9TNHAcTLaAqH6O6YHjBs5YxhASHrFE37WM.pkg	10
Simple 1500 Vol. 101: The Sentou 	PS1	JP	http://zeusXXXXJP0367/NPJJ00437_00/jLhCjOXTQptSVUmKdkH8VFDCjTQfJdak6QE599U5XgYUyjxY3KiHQbLS3KbTkdTsBg6vNaP7cpyvreCd5iJQNuRB88pnpsVgG93jb.pkg	10
